emp_no,first_name,last_name,title,from_date,to_date,birth_date
10095,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01,1965-01-03
10095,Hilari,Morton,Staff,1994-03-10,9999-01-01,1965-01-03
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01,1965-01-19
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,9999-01-01,1965-01-23
10291,Dipayan,Seghrouchni,Staff,1987-03-30,9999-01-01,1965-01-23
10476,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01,1965-01-01
10476,Kokou,Iisaka,Staff,1987-09-20,9999-01-01,1965-01-01
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01,1965-01-09
10762,Lech,Himler,Senior Staff,1999-01-21,9999-01-01,1965-01-19
10762,Lech,Himler,Staff,1992-01-21,9999-01-01,1965-01-19
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01,1965-01-24
12155,Keiichiro,Glinert,Engineer,1993-09-16,9999-01-01,1965-01-21
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,9999-01-01,1965-01-21
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01,1965-01-10
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01,1965-01-30
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01,1965-01-16
14075,Denny,Tchuente,Assistant Engineer,1991-05-30,9999-01-01,1965-01-03
14075,Denny,Tchuente,Engineer,1998-05-30,9999-01-01,1965-01-03
14104,Sudhanshu,Demian,Senior Staff,1999-07-23,9999-01-01,1965-01-03
14104,Sudhanshu,Demian,Staff,1994-07-23,9999-01-01,1965-01-03
14127,Magdalena,Cannard,Engineer,1994-04-22,9999-01-01,1965-01-10
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01,1965-01-10
14158,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01,1965-01-22
14158,Caolyn,Setiz,Staff,1990-02-06,9999-01-01,1965-01-22
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01,1965-01-19
14907,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01,1965-01-14
14907,Nakhoon,Luga,Staff,1986-12-18,9999-01-01,1965-01-14
15050,Nikolaos,Kruskal,Engineer,1990-12-17,9999-01-01,1965-01-18
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01,1965-01-18
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01,1965-01-30
15058,Bouchung,Bugrara,Staff,1990-06-18,9999-01-01,1965-01-30
15413,Arvin,Rabejac,Engineer,1994-01-01,9999-01-01,1965-01-17
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,9999-01-01,1965-01-17
16461,Remmert,Schahn,Senior Staff,1994-09-06,9999-01-01,1965-01-14
16461,Remmert,Schahn,Staff,1986-09-06,9999-01-01,1965-01-14
16528,Gaurav,Swick,Assistant Engineer,1996-05-07,9999-01-01,1965-01-21
